Np,Time,Bandwidth_GBs,Performance_MFLOPs
256,0.445401854,27.588569489879134,1149.5237287449638
512,0.393718404,32.72618642434607,1363.5911010144193
1024,0.327319985,39.36484931709868,1640.2020548791118
2048,0.395209379,32.60272294296943,1358.4467892903926
4096,0.397327432,32.42892599471964,1351.205249779985
8192,0.404110813,31.884575897255193,1328.5239957189663
16384,0.405327694,31.788851536011745,1324.5354806671562
32768,0.423043124,30.45765586772662,1269.0689944886092
65536,0.423628715,30.415553600987604,1267.3147333744832
131072,0.423497856,30.42495187508104,1267.7063281283768
262144,0.429123008,30.02612688620975,1251.0886202587394
524288,0.424867808,30.326849070193614,1263.6187112580674
1048576,0.722367522,17.83704484986522,743.2102020777174
2097152,0.865666531,14.88437109046555,620.1821287693979
4194304,0.860552386,14.97282686983335,623.8677862430563
8388608,0.861419018,14.957763433079904,623.240143044996
16777216,0.857092872,15.033262215719374,626.3859256549739
33554432,0.859808874,14.985774487365898,624.4072703069124
67108864,0.858633624,15.006286182894698,625.261924287279
134217728,0.858593912,15.006980259137919,625.2908441307466
268435456,0.85905416,14.998940099422834,624.9558374759514
536870912,0.858370793,15.010881070367455,625.4533779319772
