ProblemSize,E2ETime,AlgoTime
2,1.2654426596816092e-06,2.0413316955024787e-07
4,1.0706093159792681e-06,2.2117235827881304e-07
8,2.8847908530452223e-06,3.2459846805843414e-07
16,1.3859660749702874e-05,1.0831022599971724e-06
32,4.798606203354904e-05,7.191644269324504e-06
64,0.00020536452141624707,3.358967624018207e-05
128,0.0008364085424448929,0.00027245892221220493
256,0.0049470997801725255,0.0027976462539836804
512,0.03429815697416299,0.024348189140980237
1024,0.1971201184328689,0.16238073937872005
2048,3.4236566164534126,3.252473785630742
4096,33.540092333360484,31.86308771669246
