ProblemSize,E2ETime,AlgoTime
2,7.332293000778068e-05,3.074302381716967e-07
4,2.4326655872573966e-06,4.4011378827843896e-07
8,5.886137356315926e-06,1.070778129506599e-06
16,2.6102855371516803e-05,8.269987868379946e-06
32,0.00012544752372024555,8.088379505161262e-05
64,0.0010079555041480196,0.000736848951405216
128,0.00761086415796619,0.006820718006251755
256,0.052765018657262484,0.044260684166578496
512,0.22697946470288047,0.20742362093308678
1024,1.6701858625075987,1.5866765693822187
2048,91.13150833051094,86.57493291398539
4096,751.9407127827502,714.3436771436127
